Abandoned Campground | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {U}.
Diamond City | [] | This land enters with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.) {T}: Add {C}. {T}: Move a shield counter from this land onto target creature. Activate only if two or more creatures entered the battlefield under your control this turn.
Diamond Valley | [] | {T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.
Dimir Aqueduct | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {U}{B}.
Dimir Guildgate | ['Gate'] | This land enters tapped. {T}: Add {U} or {B}.
Dining Room | [] | This land enters tapped. {T}: Add {R} or {G}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Dismal Backwater | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {U} or {B}.
Dormant Volcano | [] | This land enters tapped. When this land enters, sacrifice it unless you return an untapped Mountain you control to its owner's hand. {T}: Add {C}{R}.
Dragonskull Summit | [] | This land enters tapped unless you control a Swamp or a Mountain. {T}: Add {B} or {R}.
Drannith Ruins | [] | {T}: Add {C}. {2}, {T}: Put two +1/+1 counters on target non-Human creature that entered this turn.
Dreadship Reef | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {1}, Remove X storage counters from this land: Add X mana in any combination of {U} and/or {B}.
Dread Statuary | [] | {T}: Add {C}. {4}: This land becomes a 4/2 Golem artifact creature until end of turn. It's still a land.
Dreamroot Cascade | [] | This land enters tapped unless you control two or more other lands. {T}: Add {G} or {U}.
Drifting Meadow | [] | This land enters tapped. {T}: Add {W}. Cycling {2} ({2}, Discard this card: Draw a card.)
Dromar's Cavern | ['Lair'] | When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand. {T}: Add {W}, {U}, or {B}.
Drossforge Bridge | [] | This land enters tapped. Indestructible {T}: Add {B} or {R}.
Drowned Catacomb | [] | This land enters tapped unless you control an Island or a Swamp. {T}: Add {U} or {B}.
Drownyard Temple | [] | {T}: Add {C}. {3}: Return this card from your graveyard to the battlefield tapped.
Dryad Arbor | ['Forest', 'Dryad'] | (This land isn't a spell, it's affected by summoning sickness, and it has "{T}: Add {G}.")
Dunes of the Dead | ['Desert'] | {T}: Add {C}. When this land is put into a graveyard from the battlefield, create a 2/2 black Zombie creature token.
Dungeon Descent | [] | This land enters tapped. {T}: Add {C}. {4}, {T}, Tap an untapped legendary creature you control: Venture into the dungeon. Activate only as a sorcery. (Enter the first room or advance to the next room.)
Duskmantle, House of Shadow | [] | {T}: Add {C}. {U}{B}, {T}: Target player mills a card.
Dust Bowl | [] | {T}: Add {C}. {3}, {T}, Sacrifice a land: Destroy target nonbasic land.
Dwarven Hold | [] | This land enters tapped. You may choose not to untap this land during your untap step. At the beginning of your upkeep, if this land is tapped, put a storage counter on it. {T}, Remove any number of storage counters from this land: Add {R} for each storage counter removed this way.
Dwarven Mine | ['Mountain'] | ({T}: Add {R}.) This land enters tapped unless you control three or more other Mountains. When this land enters untapped, create a 1/1 red Dwarf creature token.
Dwarven Ruins | [] | This land enters tapped. {T}: Add {R}. {T}, Sacrifice this land: Add {R}{R}.
Ebon Stronghold | [] | This land enters tapped. {T}: Add {B}. {T}, Sacrifice this land: Add {B}{B}.
Echoing Deeps | ['Cave'] | You may have this land enter tapped as a copy of any land card in a graveyard, except it's a Cave in addition to its other types. {T}: Add {C}.
Eden, Seat of the Sanctum | ['Town'] | {T}: Add {C}. {5}, {T}: Mill two cards. Then you may sacrifice this land. When you do, return another target permanent card from your graveyard to your hand.
Edgewall Inn | [] | This land enters tapped. As this land enters, choose a color. {T}: Add one mana of the chosen color. {3}, {T}, Sacrifice this land: Return target card that has an Adventure from your graveyard to your hand.
Eiganjo Castle | [] | {T}: Add {W}. {W}, {T}: Prevent the next 2 damage that would be dealt to target legendary creature this turn.
Eiganjo, Seat of the Empire | [] | {T}: Add {W}. Channel — {2}{W}, Discard this card: It deals 4 damage to target attacking or blocking creature. This ability costs {1} less to activate for each legendary creature you control.
Eldrazi Temple | [] | {T}: Add {C}. {T}: Add {C}{C}. Spend this mana only to cast colorless Eldrazi spells or activate abilities of colorless Eldrazi.
Elegant Parlor | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Elephant Graveyard | [] | {T}: Add {C}. {T}: Regenerate target Elephant.
Elfhame Palace | [] | This land enters tapped. {T}: Add {G} or {W}.
Emergence Zone | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: You may cast spells this turn as though they had flash.
Emeria, the Sky Ruin | [] | This land enters tapped. At the beginning of your upkeep, if you control seven or more Plains, you may return target creature card from your graveyard to the battlefield. {T}: Add {W}.
Encroaching Wastes | [] | {T}: Add {C}. {4}, {T}, Sacrifice this land: Destroy target nonbasic land.
Endless Sands | ['Desert'] | {T}: Add {C}. {2}, {T}: Exile target creature you control. {4}, {T}, Sacrifice this land: Return each creature card exiled with this land to the battlefield under its owner's control.
Eroded Canyon | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {U} or {R}.
Escape Tunnel | [] | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. {T}, Sacrifice this land: Target creature with power 2 or less can't be blocked this turn.
Esper Panorama | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle.
Etched Cornfield | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {G} or {W}.
Everglades | [] | This land enters tapped. When this land enters, sacrifice it unless you return an untapped Swamp you control to its owner's hand. {T}: Add {C}{B}.
Evolving Wilds | [] | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Exotic Orchard | [] | {T}: Add one mana of any color that a land an opponent controls could produce.
Eye of Ugin | [] | Colorless Eldrazi spells you cast cost {2} less to cast. {7}, {T}: Search your library for a colorless creature card, reveal it, put it into your hand, then shuffle.
Fabled Passage | [] | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.
Faceless Haven | [] | {T}: Add {C}. {S}{S}{S}: This land becomes a 4/3 creature with vigilance and all creature types until end of turn. It's still a land. ({S} can be paid with one mana from a snow source.)
Faerie Conclave | [] | This land enters tapped. {T}: Add {U}. {1}{U}: This land becomes a 2/1 blue Faerie creature with flying until end of turn. It's still a land.
Ferrous Lake | [] | {1}, {T}: Add {U}{R}.
Fertile Thicket | [] | This land enters tapped. When this land enters, you may look at the top five cards of your library. If you do, reveal up to one basic land card from among them, then put that card on top of your library and the rest on the bottom in any order. {T}: Add {G}.
Festering Gulch | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {B} or {G}.
Fetid Heath | [] | {T}: Add {C}. {W/B}, {T}: Add {W}{W}, {W}{B}, or {B}{B}.
Fetid Pools | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Field of Ruin | [] | {T}: Add {C}. {2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles.
Field of the Dead | [] | This land enters tapped. {T}: Add {C}. Whenever this land or another land you control enters, if you control seven or more lands with different names, create a 2/2 black Zombie creature token.
Fiery Islet | [] | {T}, Pay 1 life: Add {U} or {R}. {1}, {T}, Sacrifice this land: Draw a card.
Fire-Lit Thicket | [] | {T}: Add {C}. {R/G}, {T}: Add {R}{R}, {R}{G}, or {G}{G}.
Flagstones of Trokair | [] | {T}: Add {W}. When Flagstones of Trokair is put into a graveyard from the battlefield, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.
Flamekin Village | [] | As this land enters, you may reveal an Elemental card from your hand. If you don't, this land enters tapped. {T}: Add {R}. {R}, {T}: Target creature gains haste until end of turn.
Flooded Grove | [] | {T}: Add {C}. {G/U}, {T}: Add {G}{G}, {G}{U}, or {U}{U}.
Flooded Strand | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.
Floodfarm Verge | [] | {T}: Add {W}. {T}: Add {U}. Activate only if you control a Plains or an Island.
Flood Plain | [] | This land enters tapped. {T}, Sacrifice this land: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.
Fomori Vault | [] | {T}: Add {C}. {3}, {T}, Discard a card: Look at the top X cards of your library, where X is the number of artifacts you control. Put one of those cards into your hand and the rest on the bottom of your library in a random order.
Forbidden Orchard | [] | {T}: Add one mana of any color. Whenever you tap this land for mana, target opponent creates a 1/1 colorless Spirit creature token.
Forbidding Watchtower | [] | Forbidding Watchtower enters tapped. {T}: Add {W}. {1}{W}: Forbidding Watchtower becomes a 1/5 white Soldier creature until end of turn. It's still a land.
Foreboding Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Swamp, Forest, or Island card, put it onto the battlefield tapped, then shuffle. Cycling {B}{G}{U} ({B}{G}{U}, Discard this card: Draw a card.)
Foreboding Ruins | [] | As this land enters, you may reveal a Swamp or Mountain card from your hand. If you don't, this land enters tapped. {T}: Add {B} or {R}.
Forest | ['Forest'] | ({T}: Add {G}.)
Forge of Heroes | [] | {T}: Add {C}. {T}: Choose target commander that entered this turn. Put a +1/+1 counter on it if it's a creature and a loyalty counter on it if it's a planeswalker.
Forgotten Cave | [] | This land enters tapped. {T}: Add {R}. Cycling {R} ({R}, Discard this card: Draw a card.)
Forgotten Monument | ['Cave'] | {T}: Add {C}. Other Caves you control have "{T}, Pay 1 life: Add one mana of any color."
Forlorn Flats | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {W} or {B}.
Forsaken City | [] | This land doesn't untap during your untap step. At the beginning of your upkeep, you may exile a card from your hand. If you do, untap this land. {T}: Add one mana of any color.
Forsaken Crossroads | [] | Forsaken Crossroads enters the battlefield tapped. As Forsaken Crossroads enters the battlefield, choose a color. When Forsaken Crossroads enters the battlefield, scry 1. If you weren't the starting player, you may untap Forsaken Crossroads instead. {T}: Add one mana of the chosen color.
Forsaken Sanctuary | [] | This land enters tapped. {T}: Add {W} or {B}.
Fortified Beachhead | [] | As this land enters, you may reveal a Soldier card from your hand. This land enters tapped unless you revealed a Soldier card this way or you control a Soldier. {T}: Add {W} or {U}. {5}, {T}: Soldiers you control get +1/+1 until end of turn.
Fortified Village | [] | As this land enters, you may reveal a Forest or Plains card from your hand. If you don't, this land enters tapped. {T}: Add {G} or {W}.
Foul Orchard | [] | This land enters tapped. {T}: Add {B} or {G}.
Foul Roads | [] | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {B}. {1}{B}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater." Activate only as a sorcery.
Foundry of the Consuls | [] | {T}: Add {C}. {5}, {T}, Sacrifice this land: Create two 1/1 colorless Thopter artifact creature tokens with flying.
Fountain of Cho | [] | This land enters tapped. {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {W} for each storage counter removed this way.
Fountainport | [] | {T}: Add {C}. {2}, {T}, Sacrifice a token: Draw a card. {3}, {T}, Pay 1 life: Create a 1/1 blue Fish creature token. {4}, {T}: Create a Treasure token.
Frontier Bivouac | [] | This land enters tapped. {T}: Add {G}, {U}, or {R}.
Frostboil Snarl | [] | As this land enters, you may reveal an Island or Mountain card from your hand. If you don't, this land enters tapped. {T}: Add {U} or {R}.
Frost Marsh | [] | This land enters tapped. {T}: Add {U} or {B}.
Frostwalk Bastion | [] | {T}: Add {C}. {1}{S}: Until end of turn, this land becomes a 2/3 Construct artifact creature. It's still a land. ({S} can be paid with one mana from a snow source.) Whenever this land deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.
Fungal Reaches | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {1}, Remove X storage counters from this land: Add X mana in any combination of {R} and/or {G}.
Furycalm Snarl | [] | As this land enters, you may reveal a Mountain or Plains card from your hand. If you don't, this land enters tapped. {T}: Add {R} or {W}.
Gaea's Cradle | [] | {T}: Add {G} for each creature you control.
Gallifrey Council Chamber | [] | When Gallifrey Council Chamber enters, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.) {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Time Lord or Alien spell or activate an ability of a Time Lord or Alien.
Game Trail | [] | As this land enters, you may reveal a Mountain or Forest card from your hand. If you don't, this land enters tapped. {T}: Add {R} or {G}.
Gargoyle Castle | [] | {T}: Add {C}. {5}, {T}, Sacrifice this land: Create a 3/4 colorless Gargoyle artifact creature token with flying.
Gates of Istfell | [] | This land enters tapped. {T}: Add {W}. {2}{W}{U}{U}, {T}, Sacrifice this land: You gain 2 life and draw two cards.
Gateway Plaza | ['Gate'] | This land enters tapped. When this land enters, sacrifice it unless you pay {1}. {T}: Add one mana of any color.
Gavony Township | [] | {T}: Add {C}. {2}{G}{W}, {T}: Put a +1/+1 counter on each creature you control.
Geier Reach Sanitarium | [] | {T}: Add {C}. {2}, {T}: Each player draws a card, then discards a card.
Gemstone Caverns | [] | If this card is in your opening hand and you're not the starting player, you may begin the game with Gemstone Caverns on the battlefield with a luck counter on it. If you do, exile a card from your hand. {T}: Add {C}. If Gemstone Caverns has a luck counter on it, instead add one mana of any color.
Gemstone Mine | [] | This land enters with three mining counters on it. {T}, Remove a mining counter from this land: Add one mana of any color. If there are no mining counters on this land, sacrifice it.
Geothermal Bog | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped.
Geothermal Crevice | [] | This land enters tapped. {T}: Add {R}. {T}, Sacrifice this land: Add {B}{G}.
Ghitu Encampment | [] | This land enters tapped. {T}: Add {R}. {1}{R}: This land becomes a 2/1 red Warrior creature with first strike until end of turn. It's still a land. (It deals combat damage before creatures without first strike.)
Ghost Quarter | [] | {T}: Add {C}. {T}, Sacrifice this land: Destroy target land. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle.
Ghost Town | [] | {T}: Add {C}. {0}: Return this land to its owner's hand. Activate only if it's not your turn.
Gilt-Leaf Palace | [] | As this land enters, you may reveal an Elf card from your hand. If you don't, this land enters tapped. {T}: Add {B} or {G}.
Gingerbread Cabin | ['Forest'] | ({T}: Add {G}.) This land enters tapped unless you control three or more other Forests. When this land enters untapped, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
Glacial Chasm | [] | Cumulative upkeep—Pay 2 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) When this land enters, sacrifice a land. Creatures you control can't attack. Prevent all damage that would be dealt to you.
Glacial Floodplain | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped.
Glacial Fortress | [] | This land enters tapped unless you control a Plains or an Island. {T}: Add {W} or {U}.
Glimmerpost | ['Locus'] | When this land enters, you gain 1 life for each Locus on the battlefield. {T}: Add {C}.
Glimmervoid | [] | At the beginning of the end step, if you control no artifacts, sacrifice this land. {T}: Add one mana of any color.
Gloomlake Verge | [] | {T}: Add {U}. {T}: Add {B}. Activate only if you control an Island or a Swamp.
Gnottvold Slumbermound | [] | This land enters tapped. {T}: Add {R}. {3}{R}{G}{G}, {T}, Sacrifice this land: Destroy target land. Create a 4/4 green Troll Warrior creature token with trample.
Goblin Burrows | [] | {T}: Add {C}. {1}{R}, {T}: Target Goblin creature gets +2/+0 until end of turn.
Godless Shrine | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Gods' Eye, Gate to the Reikai | [] | {T}: Add {C}. When Gods' Eye is put into a graveyard from the battlefield, create a 1/1 colorless Spirit creature token.
Gohn, Town of Ruin | ['Town'] | This land enters tapped. {T}: Add {B} or {G}.
Goldmire Bridge | [] | This land enters tapped. Indestructible {T}: Add {W} or {B}.
Golgari Guildgate | ['Gate'] | This land enters tapped. {T}: Add {B} or {G}.
Golgari Rot Farm | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {B}{G}.
Gond Gate | ['Gate'] | Gates you control enter untapped. {T}: Add {C}. {T}: Add one mana of any color that a Gate you control could produce.
Gongaga, Reactor Town | ['Town'] | This land enters tapped. {T}: Add {R} or {G}.
Grand Coliseum | [] | This land enters tapped. {T}: Add {C}. {T}: Add one mana of any color. This land deals 1 damage to you.
Grasping Dunes | ['Desert'] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Put a -1/-1 counter on target creature. Activate only as a sorcery.
Grasslands | [] | This land enters tapped. {T}, Sacrifice this land: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle.
Graven Cairns | [] | {T}: Add {C}. {B/R}, {T}: Add {B}{B}, {B}{R}, or {R}{R}.
Graypelt Refuge | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {G} or {W}.
Great Arashin City | [] | This land enters tapped unless you control a Forest or a Plains. {T}: Add {B}. {1}{B}, {T}, Exile a creature card from your graveyard: Create a 1/1 white Spirit creature token.
Great Furnace | [] | {T}: Add {R}.
Great Hall of Starnheim | [] | This land enters tapped. {T}: Add {B}. {W}{W}{B}, {T}, Sacrifice this land and a creature you control: Create a 4/4 white Angel Warrior creature token with flying and vigilance. Activate only as a sorcery.
Great Hall of the Citadel | [] | {T}: Add {C}. {1}, {T}: Add two mana in any combination of colors. Spend this mana only to cast legendary spells.
Griffin Canyon | [] | {T}: Add {C}. {T}: Untap target Griffin. If it's a creature, it gets +1/+1 until end of turn.
Grim Backwoods | [] | {T}: Add {C}. {2}{B}{G}, {T}, Sacrifice a creature: Draw a card.
Grixis Panorama | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.
Grove of the Burnwillows | [] | {T}: Add {C}. {T}: Add {R} or {G}. Each opponent gains 1 life.
Grove of the Guardian | [] | {T}: Add {C}. {3}{G}{W}, {T}, Tap two untapped creatures you control, Sacrifice this land: Create an 8/8 green and white Elemental creature token with vigilance.
Gruul Guildgate | ['Gate'] | This land enters tapped. {T}: Add {R} or {G}.
Gruul Turf | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {R}{G}.
Guadosalam, Farplane Gateway | ['Town'] | This land enters tapped. {T}: Add {G} or {U}.
Guildless Commons | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {C}{C}.
Guildmages' Forum | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. If that mana is spent on a multicolored creature spell, that creature enters with an additional +1/+1 counter on it.
Halimar Depths | [] | This land enters tapped. When this land enters, look at the top three cards of your library, then put them back in any order. {T}: Add {U}.
Hall | [] | This land enters tapped. {T}: Add {R} or {W}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Hall of Heliod's Generosity | [] | {T}: Add {C}. {1}{W}, {T}: Put target enchantment card from your graveyard on top of your library.
Hall of Oracles | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {T}: Put a +1/+1 counter on target creature. Activate only as a sorcery and only if you've cast an instant or sorcery spell this turn.
Hall of Storm Giants | [] | If you control two or more other lands, this land enters tapped. {T}: Add {U}. {5}{U}: Until end of turn, this land becomes a 7/7 blue Giant creature with ward {3}. It's still a land. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)
Hall of Tagsin | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {4}, {T}: Create a tapped Powerstone token. (It's an artifact with "{T}: Add {C}. This mana can't be spent to cast a nonartifact spell.")
Hall of the Bandit Lord | [] | Hall of the Bandit Lord enters tapped. {T}, Pay 3 life: Add {C}. If that mana is spent on a creature spell, it gains haste.
Hallowed Fountain | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Halls of Mist | [] | Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) Creatures that attacked during their controller's last turn can't attack.
Hammerheim | [] | {T}: Add {R}. {T}: Target creature loses all landwalk abilities until end of turn.
Hanweir Battlements | [] | {T}: Add {C}. {R}, {T}: Target creature gains haste until end of turn. {3}{R}{R}, {T}: If you both own and control this land and a creature named Hanweir Garrison, exile them, then meld them into Hanweir, the Writhing Township.
Hashep Oasis | ['Desert'] | {T}: Add {C}. {T}, Pay 1 life: Add {G}. {1}{G}{G}, {T}, Sacrifice a Desert: Target creature gets +3/+3 until end of turn. Activate only as a sorcery.
Haunted Fengraf | [] | {T}: Add {C}. {3}, {T}, Sacrifice this land: Return a creature card at random from your graveyard to your hand.
Haunted Mire | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) This land enters tapped.
Haunted Ridge | [] | This land enters tapped unless you control two or more other lands. {T}: Add {B} or {R}.
Havengul Laboratory // Havengul Mystery | set() | {T}: Add {C}. {4}, {T}: Investigate. (Create a colorless Clue artifact token with "{2}, Sacrifice this artifact: Draw a card.") At the beginning of your end step, if you sacrificed three or more Clues this turn, transform Havengul Laboratory. // When this land transforms into Havengul Mystery, return target creature card from your graveyard to the battlefield. When the creature put onto the battlefield with Havengul Mystery leaves the battlefield, transform Havengul Mystery. {T}, Pay 1 life: Add {B}.
Haven of the Spirit Dragon | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Dragon creature spell. {2}, {T}, Sacrifice this land: Return target Dragon creature card or Ugin planeswalker card from your graveyard to your hand.
Havenwood Battleground | [] | This land enters tapped. {T}: Add {G}. {T}, Sacrifice this land: Add {G}{G}.
Heap Gate | ['Gate'] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {1}, {T}, Tap an untapped Gate you control: Create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")
Heart of Yavimaya | [] | If this land would enter, sacrifice a Forest instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {G}. {T}: Target creature gets +1/+1 until end of turn.
Hedge Maze | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
HELIOS One | [] | {T}: Add {C}. {1}, {T}: You get {E} (an energy counter). {3}, {T}, Pay X {E}, Sacrifice this land: Destroy target nonland permanent with mana value X. Activate only as a sorcery.
Hellion Crucible | [] | {T}: Add {C}. {1}{R}, {T}: Put a pressure counter on this land. {1}{R}, {T}, Remove two pressure counters from this land and sacrifice it: Create a 4/4 red Hellion creature token with haste. (It can attack and {T} as soon as it comes under your control.)
Hengegate Pathway // Mistgate Pathway | set() | {T}: Add {W}. // {T}: Add {U}.
Henge of Ramos | [] | {T}: Add {C}. {2}, {T}: Add one mana of any color.
Hickory Woodlot | [] | This land enters tapped with two depletion counters on it. {T}, Remove a depletion counter from this land: Add {G}{G}. If there are no depletion counters on this land, sacrifice it.
Hidden Cataract | ['Cave'] | This land enters tapped. {T}: Add {U}. {4}{U}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Courtyard | ['Cave'] | This land enters tapped. {T}: Add {W}. {4}{W}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Grotto | [] | When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
Hidden Necropolis | ['Cave'] | This land enters tapped. {T}: Add {B}. {4}{B}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Nursery | ['Cave'] | This land enters tapped. {T}: Add {G}. {4}{G}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Volcano | ['Cave'] | This land enters tapped. {T}: Add {R}. {4}{R}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Highland Forest | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped.
Highland Lake | [] | This land enters tapped. {T}: Add {U} or {R}.
Highland Weald | [] | This land enters tapped. {T}: Add {R} or {G}.
High Market | [] | {T}: Add {C}. {T}, Sacrifice a creature: You gain 1 life.
Hinterland Harbor | [] | This land enters tapped unless you control a Forest or an Island. {T}: Add {G} or {U}.
Hissing Quagmire | [] | This land enters tapped. {T}: Add {B} or {G}. {1}{B}{G}: This land becomes a 2/2 black and green Elemental creature with deathtouch until end of turn. It's still a land.
Hive of the Eye Tyrant | [] | If you control two or more other lands, this land enters tapped. {T}: Add {B}. {3}{B}: Until end of turn, this land becomes a 3/3 black Beholder creature with menace and "Whenever this creature attacks, exile target card from defending player's graveyard." It's still a land.
Holdout Settlement | [] | {T}: Add {C}. ({C} represents colorless mana.) {T}, Tap an untapped creature you control: Add one mana of any color.
Hollow Trees | [] | This land enters tapped. You may choose not to untap this land during your untap step. At the beginning of your upkeep, if this land is tapped, put a storage counter on it. {T}, Remove any number of storage counters from this land: Add {G} for each storage counter removed this way.
Homeward Path | [] | {T}: Add {C}. {T}: Each player gains control of all creatures they own.
Horizon Canopy | [] | {T}, Pay 1 life: Add {G} or {W}. {1}, {T}, Sacrifice this land: Draw a card.
Horizon of Progress | [] | {T}, Pay 1 life: Add one mana of any type that a land you control could produce. {3}, {T}: You may put a land card from your hand onto the battlefield tapped. {1}, {T}, Sacrifice this land: Draw a card.
Hostile Desert | ['Desert'] | {T}: Add {C}. {2}, Exile a land card from your graveyard: This land becomes a 3/4 Elemental creature until end of turn. It's still a land.
Hostile Hostel // Creeping Inn | {'Construct', 'Horror'} | {T}: Add {C}. {1}, {T}, Sacrifice a creature: Put a soul counter on this land. Then if there are three or more soul counters on it, remove those counters, transform it, then untap it. Activate only as a sorcery. // Whenever this creature attacks, you may exile a creature card from your graveyard. If you do, each opponent loses X life and you gain X life, where X is the number of creature cards exiled with this creature. {4}: This creature phases out.
Howltooth Hollow | [] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {B}. {B}, {T}: You may play the exiled card without paying its mana cost if each player has no cards in hand.
Hushwood Verge | [] | {T}: Add {G}. {T}: Add {W}. Activate only if you control a Forest or a Plains.
Icatian Store | [] | This land enters tapped. You may choose not to untap this land during your untap step. At the beginning of your upkeep, if this land is tapped, put a storage counter on it. {T}, Remove any number of storage counters from this land: Add {W} for each storage counter removed this way.
Ice Floe | [] | You may choose not to untap this land during your untap step. {T}: Tap target creature without flying that's attacking you. It doesn't untap during its controller's untap step for as long as this land remains tapped.
Ice Tunnel | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped.
Idyllic Beachfront | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped.
Idyllic Grange | ['Plains'] | ({T}: Add {W}.) This land enters tapped unless you control three or more other Plains. When this land enters untapped, put a +1/+1 counter on target creature you control.
